index,zenith_deg,relative_azimuth_deg,absolute_azimuth_deg,reference_intensity,model_intensity,normalized_reference,normalized_model,reference_dop,model_dop,dop_abs_error,reference_aop_deg,model_aop_deg,aop_abs_error_deg,signed_dolp_bias,first_frac,second_frac,higher_frac,second_rr_frac,second_ar_frac,second_ra_frac,second_aa_frac,model_q,model_u,model_v,model_calibration_applied,model_calibration_intensity_gain,model_calibration_dolp_scale,model_calibration_aop_offset_deg,raw_model_intensity,raw_model_dop,raw_model_aop_deg,raw_model_q,raw_model_u,raw_model_v
28,3.325688,295.411445,231.396539,808.7273,808.7273,0.034888214376461626,0.034888214376461626,0.500982,0.500982,0.0,57.774013,57.774013,0.0,0.0,0.34403797866,0.65544927141,0.00051274993212,0.63052224451,0.29462500662,0.054568602449,0.020284146428,-174.73140149948907,365.5431528646223,0.0,1.0,1756339504.7127185,0.5888940624891928,45.160004437442325,4.6046182861e-07,0.850716677091975,12.614008562557672,3.5435956652e-07,1.6696065133e-07,0.0
29,3.222611,305.155665,241.140759,820.8,820.8,0.03540902645452886,0.03540902645452886,0.49031,0.49031,0.0,50.51181,50.51181,0.0,0.0,0.37287275041,0.62676162303,0.00036562656211,0.64353096198,0.28385540133,0.054490203504,0.018123433187,-76.95325497054172,395.02068307527327,0.0,1.0,1923314089.00576,0.5798048723766358,27.49922258146664,4.2676336886e-07,0.845646567249782,23.012587418533357,2.5058184897e-07,2.5971337066e-07,0.0
30,2.952813,314.932965,250.918059,827.2,827.2,0.03568512022805346,0.03568512022805346,0.487495,0.487495,0.0,42.83024,42.83024,0.0,0.0,0.3790664658,0.61412465587,0.0068088783338,0.6498927789,0.28036836704,0.053281233046,0.016457621021,30.51296849951025,402.09980179519414,0.0,1.0,1965297701.4301817,0.5824800966218794,9.777847078215864,4.2090315345e-07,0.8369298845183726,33.05239292178414,1.4269087761e-07,3.2207289465e-07,0.0
31,3.174858,325.258385,261.243479,788.0,788.0,0.03399404586521534,0.03399404586521534,0.396132,0.396132,0.0,31.153325,31.153325000000002,3.552713678800501e-15,0.0,0.38431825579,0.61534480869,0.00033693552066,0.65352506195,0.27920559132,0.052038378132,0.015230968603,145.06930314084872,276.3942444753378,0.0,1.0,1886871452.9446452,0.4715927081620442,-12.119145102116466,4.1762251412e-07,0.8399875425212997,43.272470102116465,2.1141044705e-08,3.5016009068e-07,0.0
32,3.168849,335.338616,271.32371,837.6,837.6,0.03613377261003092,0.03613377261003092,0.44911,0.44911000000000006,5.551115123125783e-17,25.746041,25.746040999999995,7.105427357601002e-15,5.551115123125783e-17,0.37376117315,0.62519749327,0.0010413335774,0.63860085353,0.29506480453,0.050468546116,0.015865795825,234.21483663359982,294.36489572554586,0.0,1.0,1945154818.5824587,0.5350161842688841,-27.306052088756477,4.3060839785e-07,0.8394325502764417,53.05209308875648,-1.0026538775e-07,3.4728235092e-07,0.0
33,3.158686,345.232989,281.218083,806.5455,806.5455,0.03479409228348101,0.03479409228348101,0.44928,0.44927999999999996,5.551115123125783e-17,9.863893,9.863893,0.0,-5.551115123125783e-17,0.37010069667,0.62849531004,0.0014039932892,0.63043323844,0.30318266508,0.049982617503,0.016401478978,341.09647179186226,122.31687473278173,0.0,1.0,1850952394.9407656,0.5347139726754475,-52.9754534715255,4.3574621487e-07,0.8402249108098342,62.839346471525495,-2.1353834052e-07,2.9740336962e-07,0.0
34,3.061937,355.197493,291.182587,806.4,806.4,0.03478781546409854,0.03478781546409854,0.443115,0.443115,0.0,-1.115791,-1.115791000000001,1.1102230246251565e-15,0.0,0.36921880692,0.6089879997,0.021793193377,0.62730645406,0.30545855146,0.050577641926,0.016657352552,357.056940232701,-13.913852007315546,0.0,1.0,1846385759.433527,0.5340333091121527,-74.39001104011759,4.3674513621e-07,0.8297516136899638,73.27422004011758,-3.0236086132e-07,1.9976087771e-07,0.0
35,7.256915,4.892257,300.877351,841.5484,841.5484,0.03630410521243475,0.03630410521243475,0.384203,0.384203,0.0,-9.964976,-9.96497599999998,1.9539925233402755e-14,0.0,0.74787750337,0.2417467158,0.010375780833,0.75852811242,0.10216962339,0.12895214959,0.010350114602,303.96148037093565,-110.2122752714789,0.0,1.0,3685217583.467496,0.47598133996348,75.34212444969125,2.2835785973e-07,0.8071808025698618,-85.30710044969125,-1.8185843574e-07,-3.0060161327e-08,0.0
36,7.340773,14.818199,310.803293,839.1429,839.1429,0.0362003327792764,0.0362003327792764,0.422709,0.42270900000000006,5.551115123125783e-17,-17.014888,-17.014887999999996,3.552713678800501e-15,5.551115123125783e-17,0.76940228766,0.22994156862,0.00065614372756,0.76794213528,0.083987230874,0.13790307514,0.010167558709,293.9674951074836,-198.50593412973228,0.0,1.0,3787917401.142779,0.5171005809250098,57.912942135461506,2.2153146733e-07,0.8174599209380922,-74.9278301354615,-1.5660261879e-07,-9.0941349909e-08,0.0
37,7.404818,25.051557,321.036651,817.931,817.931,0.03528525879261605,0.03528525879261605,0.415487,0.41548700000000005,5.551115123125783e-17,-31.623529,-31.623529000000016,1.4210854715202004e-14,5.551115123125783e-17,0.75376713295,0.24514872822,0.001084138834,0.76048137065,0.08885775328,0.14028332325,0.010377552817,152.9769002357561,-303.46183931615536,0.0,1.0,3633102900.262519,0.5254317702287732,32.60263752189168,2.2513290222e-07,0.7907534784565783,-64.22616652189168,-1.1070698719e-07,-1.3941567447e-07,0.0
