index,zenith_deg,relative_azimuth_deg,intensity_gain,dolp_scale,aop_offset_deg,source_reference_intensity,source_model_intensity,source_reference_dop,source_model_dop,source_reference_aop_deg,source_model_aop_deg
323,45.042862,5.002487,1.39274803548942065e+09,4.21594192713217464e-01,-8.15345654484650879e+01,2.18483800000000019e+03,1.56872452470000003e-06,1.24646999999999994e-01,2.95656349528488571e-01,1.78941979999999994e+01,-8.05712365515349092e+01
324,45.011898,14.884178,1.09563285736126161e+09,5.77360984404973632e-01,7.93411295804462497e+01,1.92098399999999992e+03,1.75330995880000009e-06,1.73377000000000003e-01,3.00292199651630065e-01,7.67244800000000016e+00,-7.16686815804462469e+01
325,45.041623,25.020234,9.36502762631105185e+08,7.65902642656976163e-01,5.65735280373828573e+01,1.67346599999999989e+03,1.78693119420000001e-06,2.32319999999999999e-01,3.03328369770423767e-01,-6.77428600000000003e+00,-6.33478140373828538e+01
326,45.030436,34.986347,8.90076036879975080e+08,9.50468811815131209e-01,3.84726808732945642e+01,1.46182199999999989e+03,1.64235631499999997e-06,2.96762999999999999e-01,3.12228025066140946e-01,-1.70597360000000009e+01,-5.55324168732945651e+01
327,45.080317,44.999131,9.32677855961742282e+08,1.11209069126825932e+00,1.65790959104933258e+01,1.30585599999999999e+03,1.40011472520000004e-06,3.66400999999999977e-01,3.29470431572577993e-01,-3.05553500000000007e+01,-4.71344459104933264e+01
328,45.045754,54.989272,1.36006376458348417e+09,1.17557447591706632e+00,-1.08761991079880360e+01,1.15854199999999992e+03,8.51829179020000047e-07,4.58452999999999999e-01,3.89982097597313448e-01,-4.47614269999999976e+01,-3.38852278920119616e+01
329,45.051599,65.004559,2.71452850468917799e+09,8.34725841290694270e-01,-3.73812450053929268e+01,1.04700500000000011e+03,3.85704183319999994e-07,5.08464000000000027e-01,6.09138923043029190e-01,-5.82378519999999966e+01,-2.08566069946070698e+01
330,45.049787,75.002438,2.70059552236855030e+09,9.24099741875171521e-01,-5.59881929106279443e+01,9.77906700000000001e+02,3.62107798779999988e-07,5.38557999999999981e-01,5.82792068426688292e-01,-7.14113619999999969e+01,-1.54231690893720561e+01
331,45.063315,85.034347,3.20519580833085537e+09,9.26469384019564579e-01,-7.70213942952825761e+01,9.37896899999999960e+02,2.92617660850000015e-07,5.56503999999999999e-01,6.00671764873180192e-01,-8.62368770000000069e+01,-9.21548270471742903e+00
332,45.022307,95.036829,3.41472436658248758e+09,1.02536218066699081e+00,8.44263403279069422e+01,9.13814399999999978e+02,2.67610003590000015e-07,5.56633999999999962e-01,5.42865740998866864e-01,8.08404910000000001e+01,-3.58584932790694477e+00
333,44.989613,105.073995,2.75278261264676332e+09,1.07169533768354119e+00,6.95575927976017709e+01,9.02949499999999944e+02,3.28013369400000009e-07,5.24328000000000016e-01,4.89250985390428050e-01,6.89658040000000057e+01,-5.91788797601766836e-01
334,45.034422,114.974524,1.96705311415749073e+09,9.71988240272897652e-01,5.44337363113077828e+01,9.08041699999999992e+02,4.61625409839999987e-07,4.76924000000000015e-01,4.90668487785508312e-01,5.65657830000000033e+01,2.13204668869222314e+00
335,45.038273,124.982024,1.62767486423035717e+09,1.08612426866049594e+00,3.66118069877873467e+01,9.21836699999999951e+02,5.66351868089999989e-07,4.27912999999999988e-01,3.93981621023660522e-01,4.36910889999999981e+01,7.07928201221265230e+00
336,45.060771,135.009812,1.60743335825418210e+09,2.04303284233351379e+00,1.23390058457573843e+01,9.45367899999999963e+02,5.88122608720000014e-07,3.80911000000000000e-01,1.86443894638977314e-01,3.33460719999999995e+01,2.10070661542426151e+01
337,45.07007,144.987016,1.51689779127908707e+09,2.35944422165324452e+00,-4.27871873090483916e+01,9.54762899999999945e+02,6.29418083069999982e-07,3.24156000000000000e-01,1.37386591734245944e-01,2.59642519999999983e+01,6.87514393090483935e+01
338,45.013336,155.04056,1.32856703024118757e+09,1.34028544944906680e+00,-6.81059789847439845e+01,9.77833300000000008e+02,7.36005995740000026e-07,3.21263999999999994e-01,2.39698192748460936e-01,1.69895640000000014e+01,8.50955429847439859e+01
339,45.047189,164.97858,1.09449969801319456e+09,1.05474002278776258e+00,-8.15299077711007669e+01,9.80565399999999954e+02,8.95902851120000045e-07,3.03483000000000003e-01,2.87732515542427292e-01,1.04532690000000006e+01,-8.80168232288992272e+01
340,45.042454,174.994567,8.58908300412730575e+08,1.00473012439427367e+00,8.44262631568781075e+01,9.71876300000000015e+02,1.13152509940000006e-06,3.25566999999999995e-01,3.24034277559136663e-01,2.98817000000000021e+00,-8.14380931568781108e+01
341,45.034671,185.008968,6.64085506132522464e+08,1.11476913072380568e+00,6.95465930353992832e+01,9.43497399999999971e+02,1.42074686360000009e-06,3.83691999999999978e-01,3.44189652749779307e-01,-5.92961100000000041e+00,-7.54762040353992774e+01
342,45.007156,194.825019,6.00337324548442364e+08,1.19699233099515112e+00,5.32143103523584813e+01,9.22098399999999970e+02,1.53596713430000000e-06,4.26153999999999977e-01,3.56020660254110111e-01,-1.63313829999999989e+01,-6.95456933523584837e+01
343,45.056891,204.982516,8.30831993978716493e+08,1.33670553290971283e+00,3.55877715831927830e+01,9.09916699999999992e+02,1.09518736230000003e-06,4.78320999999999996e-01,3.57835729877470310e-01,-2.71441930000000013e+01,-6.27319645831927843e+01
344,45.027035,215.002337,1.26436266388183117e+09,1.44548696626122575e+00,1.54452343598179027e+01,8.95873000000000047e+02,7.08556987319999957e-07,5.16299999999999981e-01,3.57180667865458434e-01,-3.94993249999999989e+01,-5.49445593598179016e+01
345,45.017984,225.005743,3.02452761226567507e+09,1.51823674054542113e+00,-1.00748294731379886e+01,9.15031600000000026e+02,3.02537029679999986e-07,5.55188000000000015e-01,3.65679465641538026e-01,-5.19726380000000034e+01,-4.18978085268620148e+01
346,45.055241,235.005374,4.24916123096911144e+09,1.21733978951274335e+00,-3.55253315807500201e+01,9.27329799999999977e+02,2.18238318010000005e-07,5.64003999999999950e-01,4.63308605254536321e-01,-6.45656259999999946e+01,-2.90402944192499781e+01
347,45.015971,244.976283,4.10025497913235521e+09,1.00450986492897654e+00,-5.66841898853622723e+01,9.79250000000000000e+02,2.38826610779999990e-07,5.37578000000000000e-01,5.35164480478257154e-01,-7.80709370000000007e+01,-2.13867471146377248e+01
348,45.035585,255.000237,3.67140492704545069e+09,8.51180901687666691e-01,-7.60741251085553642e+01,1.05972800000000007e+03,2.88643726600000009e-07,4.86159999999999981e-01,5.71159431603873169e-01,8.85839270000000027e+01,-1.53419478914446277e+01
