zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg
26.143855,54.941341,9.233455e+02,-9.670914e+01,-4.084039e+02,0.454541,-51.661064
26.049322,64.937630,8.571636e+02,-2.415294e+02,-3.588194e+02,0.504614,-61.972693
26.135288,75.004543,8.103571e+02,-3.603741e+02,-2.328680e+02,0.529477,-73.565046
26.165957,85.001142,7.856429e+02,-4.262820e+02,-5.844245e+01,0.547666,-86.096763
26.132623,94.905787,7.589189e+02,-4.064556e+02,1.047458e+02,0.553070,82.774501
26.053196,104.892793,7.472696e+02,-3.213042e+02,2.661323e+02,0.558310,70.182734
26.088026,114.948559,7.357193e+02,-2.123078e+02,3.385537e+02,0.543164,61.045957
26.151169,124.992745,7.405000e+02,-4.849524e+01,3.735018e+02,0.508625,48.698931
26.155376,134.974239,7.297297e+02,6.418318e+01,3.803605e+02,0.528604,40.210984
26.121621,144.997622,7.338571e+02,1.823304e+02,3.293880e+02,0.513022,30.516798
26.066654,155.003112,7.335780e+02,2.823301e+02,2.354446e+02,0.501133,19.912933
26.119693,164.967292,7.299286e+02,3.507943e+02,1.267821e+02,0.511011,9.935290
26.157841,175.010098,7.337857e+02,3.687204e+02,1.205450e+01,0.502759,0.936246
26.113562,185.033848,7.350631e+02,3.706788e+02,-1.452214e+02,0.541601,-10.696919
26.077802,195.024620,7.260917e+02,2.910763e+02,-2.565182e+02,0.534338,-20.694458
26.084484,205.206171,7.544906e+02,1.867673e+02,-3.769319e+02,0.557549,-31.820942
26.148741,215.001535,7.577982e+02,3.635844e+01,-4.139379e+02,0.548341,-42.490140
26.093929,224.965733,7.499820e+02,-1.239026e+02,-3.818730e+02,0.535307,-53.988090
26.148679,235.003143,7.801802e+02,-2.704640e+02,-3.190751e+02,0.536135,-65.143140
26.184697,245.014133,8.184000e+02,-3.640946e+02,-1.967658e+02,0.505696,-75.806052
26.123008,255.018555,8.575135e+02,-4.015184e+02,-3.763777e+01,0.470288,-87.322411
26.100336,264.984074,8.982545e+02,-3.505979e+02,1.067255e+02,0.407994,81.534610
26.105162,274.995145,9.818909e+02,-2.913506e+02,2.409100e+02,0.385024,70.206780
26.149795,285.051072,1.063207e+03,-1.889662e+02,2.870165e+02,0.323208,61.680072
26.159838,295.088269,1.125382e+03,-8.764673e+01,3.290036e+02,0.302545,52.458589
26.127697,305.022322,1.205185e+03,2.028145e+01,2.966802e+02,0.246744,43.044634
26.063422,314.985369,1.276180e+03,1.081021e+02,2.650744e+02,0.224318,33.906736
26.138121,324.964205,1.343780e+03,1.568418e+02,2.298053e+02,0.207047,27.843256
26.158318,334.954521,1.390357e+03,2.233450e+02,1.894765e+02,0.210658,20.154938
26.159288,344.981416,1.355273e+03,2.300302e+02,1.251281e+02,0.193216,14.272294
26.076364,354.973060,1.296360e+03,2.591868e+02,8.174948e+01,0.209643,8.752834
30.841073,5.030139,1.406962e+03,2.906801e+02,2.245650e+01,0.207217,2.208807
30.823153,14.907602,1.339062e+03,2.993651e+02,-8.390132e+01,0.232177,-7.828141
30.816987,24.801132,1.231294e+03,2.922808e+02,-1.984079e+02,0.286903,-17.084846
30.874708,34.994048,1.116000e+03,2.347447e+02,-2.871781e+02,0.332359,-25.368400
30.848519,45.047453,1.040602e+03,9.213652e+01,-3.935698e+02,0.388440,-38.412038
30.844538,55.033762,9.614046e+02,-7.146310e+01,-4.352220e+02,0.458756,-49.662356
30.809294,65.035851,9.019852e+02,-2.339320e+02,-3.770123e+02,0.491906,-60.909574
30.847478,75.030246,8.469538e+02,-3.712640e+02,-2.523277e+02,0.530011,-72.899104
30.849110,84.980830,8.110769e+02,-4.435594e+02,-6.917056e+01,0.553487,-85.568219
30.876056,95.042859,7.871278e+02,-4.130502e+02,1.090920e+02,0.542750,82.602627
30.863978,104.987018,7.747597e+02,-3.370000e+02,2.670531e+02,0.554990,70.802600
30.859057,114.927427,7.613431e+02,-2.056772e+02,3.391788e+02,0.521011,60.616256
30.875488,125.070863,7.584000e+02,-5.762440e+01,3.920675e+02,0.522521,49.180612
30.886576,135.017152,7.716692e+02,6.803737e+01,3.725376e+02,0.490754,39.825006
30.835787,144.975020,7.649846e+02,2.031312e+02,2.982198e+02,0.471681,27.869710
30.845138,154.911860,7.709412e+02,2.820308e+02,2.208206e+02,0.464619,19.029875
30.891096,165.009479,7.947669e+02,3.338650e+02,1.174799e+02,0.445327,9.692936
30.853290,175.063483,7.642424e+02,3.694835e+02,-1.852854e-01,0.483464,-0.014366
30.861277,185.002740,7.680000e+02,3.701072e+02,-1.344988e+02,0.512745,-9.985696
30.748214,194.998844,7.595821e+02,3.015941e+02,-2.565206e+02,0.521249,-20.191397
30.830396,204.969064,7.654545e+02,2.039042e+02,-3.612964e+02,0.541984,-30.280501
30.841506,214.920567,7.706047e+02,5.635019e+01,-4.219915e+02,0.552472,-41.197032
30.814329,224.967500,7.780763e+02,-1.242863e+02,-4.171358e+02,0.559402,-53.295755
30.883608,234.973947,8.096000e+02,-2.780222e+02,-3.434036e+02,0.545751,-64.496952
30.874387,245.013084,8.511628e+02,-3.953679e+02,-2.046717e+02,0.523054,-76.315285
30.869814,255.031792,8.996308e+02,-4.196418e+02,-2.746576e+01,0.467458,-88.127653
30.835055,265.043560,9.660923e+02,-3.590878e+02,1.238317e+02,0.393171,80.486602
30.858894,274.998630,1.047385e+03,-2.916525e+02,2.540558e+02,0.369290,69.470588
30.823224,284.864059,1.135873e+03,-1.480714e+02,3.363879e+02,0.323570,56.879083
30.849743,294.969015,1.242938e+03,-4.043720e+01,3.277862e+02,0.265718,48.516368
30.865432,304.939000,1.353152e+03,5.564663e+01,2.850403e+02,0.214626,39.476721
30.809795,314.986818,1.462462e+03,1.050567e+02,2.477467e+02,0.184006,33.510342
30.842753,325.014559,1.532308e+03,1.427332e+02,2.090091e+02,0.165173,27.835333
30.900367,335.001776,1.579163e+03,1.709103e+02,1.524044e+02,0.145009,20.862036
30.852299,344.956608,1.560000e+03,2.045973e+02,1.438709e+02,0.160332,17.557261
30.830393,354.995797,1.506748e+03,2.460418e+02,1.011426e+02,0.176552,11.173267
35.569952,5.007858,1.640901e+03,2.812732e+02,6.997978e+01,0.176640,6.985661
35.589486,14.920963,1.504378e+03,3.208555e+02,-1.965197e+01,0.213681,-1.752456
35.591775,24.898412,1.354548e+03,3.334487e+02,-1.434573e+02,0.267985,-11.639244
35.605589,35.045332,1.239627e+03,2.854416e+02,-2.871473e+02,0.326617,-22.585339
35.592381,44.984358,1.117158e+03,1.398200e+02,-4.160495e+02,0.392886,-35.712131
35.564170,54.988883,1.019421e+03,-5.568401e+01,-4.471531e+02,0.442022,-48.549252
35.615431,64.981972,9.327792e+02,-2.325921e+02,-4.064974e+02,0.502087,-59.888790
35.570525,74.993865,8.795789e+02,-3.827027e+02,-2.701762e+02,0.532598,-72.389549
35.573400,84.973341,8.390649e+02,-4.763130e+02,-7.064681e+01,0.573881,-85.781694
35.578370,94.975369,8.185960e+02,-4.350141e+02,1.138963e+02,0.549327,82.664019
35.645007,104.948711,8.077895e+02,-3.446690e+02,2.823200e+02,0.551548,70.339465
35.551347,114.863444,7.995817e+02,-2.033945e+02,3.725710e+02,0.530870,59.315536
35.609777,124.961339,8.005229e+02,-4.556525e+01,3.833373e+02,0.482230,48.389318
