wavelength_nm,angle_deg,f11,f12,f22,f33,f34,f44
450,55,6.693927839e-02,-1.144269910e-03,6.693927839e-02,6.692949751e-02,0.000000000e+00,6.692949751e-02
450,60,5.510179991e-02,-1.076433078e-03,5.510179991e-02,5.509128466e-02,0.000000000e+00,5.509128466e-02
450,65,4.612485956e-02,-1.006998932e-03,4.612485956e-02,4.611386584e-02,0.000000000e+00,4.611386584e-02
450,70,3.921616943e-02,-9.368655212e-04,3.921616943e-02,3.920497708e-02,0.000000000e+00,3.920497708e-02
450,75,3.383027620e-02,-8.665101402e-04,3.383027620e-02,3.381917722e-02,0.000000000e+00,3.381917722e-02
450,80,2.958472474e-02,-7.963083642e-04,2.958472474e-02,2.957400600e-02,0.000000000e+00,2.957400600e-02
450,85,2.620679950e-02,-7.266666522e-04,2.620679950e-02,2.619672300e-02,0.000000000e+00,2.619672300e-02
450,90,2.349898807e-02,-6.580645469e-04,2.349898807e-02,2.348977206e-02,0.000000000e+00,2.348977206e-02
450,95,2.131615489e-02,-5.910454769e-04,2.131615489e-02,2.130795918e-02,0.000000000e+00,2.130795918e-02
450,100,1.955018054e-02,-5.261761328e-04,1.955018054e-02,1.954309847e-02,0.000000000e+00,1.954309847e-02
450,105,1.811944396e-02,-4.639889611e-04,1.811944396e-02,1.811350225e-02,0.000000000e+00,1.811350225e-02
450,110,1.696149722e-02,-4.049201282e-04,1.696149722e-02,1.695666323e-02,0.000000000e+00,1.695666323e-02
450,115,1.602787673e-02,-3.492544808e-04,1.602787673e-02,1.602407107e-02,0.000000000e+00,1.602407107e-02
450,120,1.528036575e-02,-2.970913999e-04,1.528036575e-02,1.527747735e-02,0.000000000e+00,1.527747735e-02
450,125,1.468825962e-02,-2.483519991e-04,1.468825962e-02,1.468615988e-02,0.000000000e+00,1.468615988e-02
450,130,1.422633887e-02,-2.028538505e-04,1.422633887e-02,1.422489254e-02,0.000000000e+00,1.422489254e-02
450,135,1.387335904e-02,-1.604706293e-04,1.387335904e-02,1.387243094e-02,0.000000000e+00,1.387243094e-02
450,140,1.361093612e-02,-1.213547073e-04,1.361093612e-02,1.361039511e-02,0.000000000e+00,1.361039511e-02
450,145,1.342275482e-02,-8.613119044e-05,1.342275482e-02,1.342247848e-02,0.000000000e+00,1.342247848e-02
450,150,1.329405813e-02,-5.591032017e-05,1.329405813e-02,1.329394056e-02,0.000000000e+00,1.329394056e-02
450,155,1.321139242e-02,-3.198389671e-05,1.321139242e-02,1.321135371e-02,0.000000000e+00,1.321135371e-02
450,160,1.316258482e-02,-1.522472000e-05,1.316258482e-02,1.316257601e-02,0.000000000e+00,1.316257601e-02
450,165,1.313691841e-02,-5.451223594e-06,1.313691841e-02,1.313691728e-02,0.000000000e+00,1.313691728e-02
450,170,1.312545174e-02,-1.180573098e-06,1.312545174e-02,1.312545168e-02,0.000000000e+00,1.312545168e-02
450,175,1.312140743e-02,-7.809092528e-08,1.312140743e-02,1.312140743e-02,0.000000000e+00,1.312140743e-02
450,180,1.312054151e-02,-0.000000000e+00,1.312054151e-02,1.312054151e-02,0.000000000e+00,1.312054151e-02
475,0,2.434098142e+00,-0.000000000e+00,2.434098142e+00,2.434098142e+00,0.000000000e+00,2.434098142e+00
475,5,1.956724210e+00,-1.904754485e-05,1.956724210e+00,1.956724210e+00,0.000000000e+00,1.956724210e+00
475,10,1.227699383e+00,-1.741105589e-04,1.227699383e+00,1.227699371e+00,0.000000000e+00,1.227699371e+00
475,15,7.588072150e-01,-4.689797422e-04,7.588072150e-01,7.588070701e-01,0.000000000e+00,7.588070701e-01
475,20,4.944026623e-01,-7.933144452e-04,4.944026623e-01,4.944020259e-01,0.000000000e+00,4.944020259e-01
475,25,3.388309178e-01,-1.053358545e-03,3.388309178e-01,3.388292805e-01,0.000000000e+00,3.388292805e-01
